InscripID_x,Provenance_Ancient_City,Prov_Ancient_City_Latitude,Prov_Ancient_City_Longitude,Prov_Ancient_City_Source,Prov_Ancient_City_Long.Lat_Source,InscripID_y,Literature,Inscription.Description,Transcriptions,Online.Database.ID,Date_Category,Dates.Found.in.Databases,**Revised/New.Date.Range**,Trismegistos.Link,Other Links (Esp. PH links),CONSULS,Unnamed: 11,Original.Translated.Date,Original.Date.by.Century,Original.Date.Half.Century,Original.Method.Determining.Date,InscripID,Focus.Deity.Epithet.1,Focus.Deity.Epithet.2,Focus.Deity.Epithet.3,Focus.Deity.Epithet.4,Focus.Deity.Epithet.5,Focus.Deity.Epithet.6,Deity.2.Epithet.1,Deity.2.Epithet.2,Deity.2.Epithet.3,Deity.2.Epithet.4,Deity.3.Epithet.1,Deity.3.Epithet.2,Deity.3.Epithet.3,Deity.4.Epithet.1,Deity.4.Epithet.2,Deity.5.Epithets,NearestCity,LastCentury
1.0,Mondim de Basto,41.9976585,-8.6094876,TM,TM,1,"AE 1983, 0549 = L. Dos Santos - P. Le Roux - A. Tranoy, Inscrições romanas do Museu Pio XII em Braga (Braga 1983) 6-7, Nr. 1; lám. 1, 1. = L. Dos Santos - P. Le Roux - A. Tranoy, Bracara Augusta 37, 1983, 184-185, Nr. 1; lám. 1, 1. - AE 1983. ",,EDCS-08500364: I(ovi) O(ptimo) Max(imo)    ~~~~ HD000050: I(ovi) O(ptimo) Max(imo),HD000050 ; EDCS-08500364 ; TM 226698,I,EDCS: 1 to 200 ; HD: 1 AD – 200 AD ; TM: BC 199 - AD 799?,1st-2nd C CE,https://www.trismegistos.org/text/226698,,,,1 AD to 200 AD,1st-2nd century CE,1st Half 1st C CE / 2nd Half 1st C CE / 1st Half 2nd C CE / 2nd Half 2nd C CE,Heidelberg Database (HD) ,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Segusio,2
2.0,Roma,41.8917375,12.4861685,EDR,TM,2,"AE 1983, 0069. M. Speidel, JŒAI (Beibl.) 53, 1981/82, 214-218, Nr. 2; Abb. 1 (Zeichnung). - AE 1983; Denkm 00005",,"HD000929: I(ovi) O(ptimo) M(aximo) / M(arcus) Ulpius / Octavius / veteranus / Cl(audia) Viruni missus / honesta missione / Hibero et Sisenna co(n)s(ulibus) / ex numero eq(uitum) / sing(ularium) Aug(usti) tur(ma) L(uci)(?) Candi(di) / v(otum) s(olvit) l(ibens) m(erito).    ~~~~~ EDCS-08500033: I(ovi) O(ptimo) M(aximo) / M(arcus) Ulpius / Octavius / veteranus / Cl(audia) Viruni missus / honesta missione / Hibero et Sisenna co(n)s(ulibus) / ex numero eq(uitum) / sing(ularium) Aug(usti) tur(ma) L(uci) Candi(di) / v(otum) s(olvit) l(ibens) m(erito)     ~~~~ EDR078789: I(ovi) O(ptimo) M(aximo). / M(arcus) Ulpius / Octavius, / veteranus, / Cl(audia) Viruni, missus / honesta missione, / Hibero et Sisenna co(n)s(ulibus), / ex numero eq(uitum) / sing(ularium) Aug(usti), tur(ma) L(uci) Candi(di), / v(otum) s(olvit) l(ibens) m(erito).",HD000929 ; EDCS-08500033 ; EDR078789 ; TM 265620,I,EDCS: 133 to 133 ; EDR: 133 d.C. / 133 d.C. ; HD: 133 AD ; TM:  consulate of M. Antonius Hiberus and P. Mummius Sisenna: AD 133,2nd C CE,https://www.trismegistos.org/text/265620,,TM: consulate of M. Antonius Hiberus and P. Mummius Sisenna,,133 AD,2nd century CE,1st Half 2nd C CE,Hibero et Sisenna co(n)s(ulibus) / Heidelberg Database (HD) / Frankfurt Databse (EDCS) ,2.0,Optimus,Maximus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rome,2
3.0,Roma,41.8917375,12.4861685,EDR,TM,3,"AE 1987, 0162.  P. Arnaud, MEFR 98, 1986, 401-403, Nr. 1; InscrIt 13, 2, p. 32-35; tab. 4-6.  fig. 4. - AE 1987. CIL 01 (2. Aufl.) 01, p. 214-215 n. III. AE 1991, 0304. For full text of the Fasti Fratrum Arvalium, see: EDR080255; Arachne Entity ID 2421976, Serial number 9007587",Fasti fratrum Arvalium - did you look at entire inscription for mention of Jupiter?,"EDCS-45300109: (long transcription / calendar / see database) Sextiles/August: [G Eid(us) n(efas) p(iaculum)] feriae Iovi / Dianae / [Vortumno] in Avent(ino) / [Herc(uli) Inv(icto) a]d port(am) Trig(eminam) [Cast(ori)] / [Pol(luci) ad cir(cum) Flam(inium) Fl]ora(e) ad circ(um) max(imum)...September: f(astus) Iovi Tonanti / in Capitolio / Iovi Libero Iunoni Reginae in Aventino...H Eid(us) n(efas) p(iaculum) [f]eriae Iovi / [I]ovi epul(um)...October:  [H No]n(ae) f(astus) Iovi Fulguri / [I]unoni Curriti in campo...[D Med(itrinalia)] n(efas) p(iaculum) [fer]ia[e] / [Iovi] /...November: E Eid(us) n(efas) p(iaculum) feriae Iovi / Iovi epul(um) / Feroniae in [ca]mp(o) Fortun(ae) Prim(igeniae) in C(apitolio) 
   ~~~~ HD003596: ------ E f(astus) Soli Indig(eti)] in coll(e) Quir(inali) / [fer(iae) q(uod) e(o) d(ie) C(aius) Caes(ar) P]harnacem vicit / [F c(omitialis)] / [G c(omitialis)] / [H c(omitialis) Herc(uli) Inv(icto) ad ci]rcum maxim(um) / [Ven(eri) Vict]r(ici) H(onori) V(ictoriae) V(irtuti) Felic(itati) / [in theatr]o marmoreo / [G Eid(us) NP(nefastus)] feriae Iovi / Dianae / [Vortumno] in Avent(ino) / [Herc(uli) Inv(icto) a]d port(am) Trig(eminam) / [Cast(ori) Pol(luci) ad cir(cum) Flam(inium) Fl]ora(e) ad circ(um) max(imum) [------ // ------ D] c(omitialis) ludi / E c(omitialis) ludi / F c(omitialis) ludi / G n(efastus) ludi / H Eid(us) NP(nefastus) [f]eriae Iovi / [I]ovi epul(um) / A f(astus) equorum pro[b(atio)] / B n(efastus) in circ(o) / C c(omitialis) [------      ~~~~~ EDR080255: (long transcription / calendar / see database) August:  [A eid(us), n(efas?) p(iaculum?).] Feriae Iovi/ Dianae/ [Vortumno] in Avent(ino) / [Herc(uli) Inv(icto) a]d port(am) Trig(eminam)/ [Cast(ori) Pol(luci) ad cir(cum) Flam(inium) Fl]ora(e) ad circ(um) max(imum)..September: f(astus). Iovi Tonanti/ in Capitolio/ Iovi Libero, Iunoni Reginae in Aventino...H eid(us), n(efas?) p̣(iaculum?). [F]eriae Iovi. Ịovi ẹp̣ụḷ(um)...October: [H no]n(ae), f(astus). Iovi Fulguri/ [I]ụnoni Curriti in Campo...[D Med(itrinalia), n(efas?)] p(iaculum?). [Fer]ia[e]/[Iovi]...November: E eid(us), n(efas?) p(iaculum?). Feriae Iovi./ Iovi epul(um)./Feroniae in [Ca]mp(o), Fortun(ae) Prim(igeniae) in C(apitolio?)",HD003596 ; EDCS-45300109 ; EDR080255 ; TM 266116,R,"EDCS: -40 to -21 ; EDR: 30 a.C. / 28 a.C.  (historia, antiquitates) ; HD: 40 BC – 20 BC ; TM: BC 36 - 21",1st C BCE,https://www.trismegistos.org/text/266116,,Imp(eratore) Commodo A[n]tonio Pio / Felice Aug(usto) V M(anio) Acil(io) / II co(n)s(ulibus),,40 BC to 20 BC,1st century BCE,2nd Half 1st C BCE,Heidelberg Database (HD),3.0,Iuppiter-no epithet,0,0,0,0,0,Tonans,0,0,0,Liber,0,0,Optimus,Maximus,Fulgur,Rome,1
4.0,Roma,41.8917375,12.4861685,EDR,TM,4,"EDR077481 with photo; AE 1980, 0038 ; N. Goodhue, PP 34, 1979, 55-61; fig. 1. - AE 1980. ; CIL 06, 00420 (p 3005, 3763) ; IGUR 0166, cfr. 4, p. 148 ; CIL 06, 30764. ; PIR (2. Aufl.) A 69; CIL 06, 36749 = CIL 14, p 612 = IG-14, 00985 = D 00398 (p 170) = IGRRP-01, 00070 = IGUR-04, p 148 = SEG-29, 00995; SupplIt Imagines - Roma 01, 2169; , HD004993 (F. Feraudi)",,"HD004993: I(ovi) O(ptimo) M(aximo) / Heliopolitano // Κομμόδῳ / ἀνδρὶ βα[σι]λικ[ω]τ[άτῳ] / ἀσπιστῇ [τῆς] / οἰκουμ[ένης] // Imp(eratori) Caes(ari) M(arco) Aur(elio) Commodo / Antonino Pio [Felici Aug(usto)] / Sarm(atico) Germanic[o] / trib(unicia) pot(estate) X[I] imp(eratori) [VIII co(n)s(uli) V p(atri) p(atriae)] / M(arcus) Antonius M(arci) f(ilius) Gai[on]a[s](?) / Glauc(us) Quir(ina) Ec[---]us / cistiber(!) dedic(avit) u(rbe) c(ondita) [a(nno) DCCCC]XXXIX / Imp(eratore) Commodo A[n]tonio Pio / Felice Aug(usto) V M'(anio) Acil(io) Gla[brione] / II co(n)s(ulibus) / III K(alendas) Dec(embres).    ~~~~~ EDCS-17300573: I(ovi) O(ptimo) M(aximo) / Heliopolitano // ""GR"" // Imp(eratori) Caes(ari) M(arco) Aur(elio) Commodo / Antonino Pio [Felici Aug(usto)] / Sarm(atico) Germanic[o] / trib(unicia) pot(estate) X[I] imp(eratori) [VIII co(n)s(uli) V p(atri) p(atriae)] / M(arcus) Antonius M(arci) f(ilius) Gai[on]a[s(?)] / Glauc(us) Quir(ina) Ec[3]us / cistiber(!) dedic(avit) u(rbe) c(ondita) [a(nno) DCCCC]XXXIX / Imp(eratore) Commodo A[n]tonio Pio / Felice Aug(usto) V M(anio) Acil(io) / II co(n)s(ulibus) / III K(alendas) Dec(embres) // ""GR"".     ~~~~~~ EDR077481: I(ovi) O(ptimo) M(aximo) / Heliopolitano. / Κομμόδῳ / ἀνδρὶ . βα[σι]λι̲κ̲[ω]τ̲[άτῳ] / ἀσπισ̣τῇ̲ [τῆς] / οἰκο̣υ̣μ̣[ένης]. / Imp(eratori) Caes(ari) M(arco) Aur̲(elio) Com̲mod̲o / An̲t̲ọnino Pio / Sarm(atico) Ger̲mani̲c̲o̲, / trib(unicia) pot(estate) X[I], imp(eratori) [VIII, co(n)s(uli) V, p(atri) p(atriae)], / M(arcus) Antonius M(arci) f(ilius) Gai[on]ạ[s] / Cl(audialis?) Aug(ustalis?) Quiṛịṇ(alis?) Ec[---]us / cistiber dedic(avit), u(rbis) c(onditae) [a(nno) DCCCC]XXXIX, / Imp(eratore) Commodo A[n]ṭọṇino Pio / Felice Aug(usto) V, M(anio) Acil(io) Glab̲r̲ione / II co(n)s(ulibus), / III k(alendas) Dec(embres).",HD004993 ; EDCS-17300573 ; EDR077481 ; TM 265176,I,"EDCS: 186 to 186 ; EDR: 186 d.C. / 186 d.C.  (historia, antiquitates; prosopographia) ; HD: 29. 11. 186 AD; TM: consulate of Imp. Caesar M. Aurelius Commodus Antoninus Augustus V and M.' Acilius Glabrio II: AD 186 ",2nd C CE,https://www.trismegistos.org/text/265176,,TM: consulate of Imp. Caesar M. Aurelius Commodus Antoninus Augustus V and M.' Acilius Glabrio II,,29. November 186 AD; 186 AD (EDCS),2nd century CE,2nd Half 2nd C CE,/ Imp(eratore) Commodo A[n]tonio Pio / Felice Aug(usto) V M'(anio) Acil(io) Gla[brione] / II co(n)s(ulibus); Frankfurt Database (EDCS),4.0,Optimus,Maximus,Heliopolitanus,0,0,0,0,0,0,0,0,0,0,0,0,0,Rome,2
5.0,Roma,41.8917375,12.4861685,EDR,TM,5,"AE 1977, 0019. ; S. Panciera, RPAA 48, 1975/76, 290-293, Nr. 2; fig. 3. - AE  1977.",,"EDCS-09300683: [Io]vi Tonant[i] / votum solvit / [p]ro Augusti / servatoris sui / victoria / Aravos proc(urator) / arg(enti) p(ondo) XXX     ~~~~ EDR076573: [Io]vì Tonant[i] / [v]ótum soḷvit / [p]ṛó Augustị / [s]ẹṛvátóris sui / victóriá, /Ạravos proc(urator) /ạrg(enti) p(ondo) XXX̣.    ~~~~~ HD006921: [Io]vi Tonant[i] / votum solvit / [p]ro Augusti / servatoris sui / victoria / Aravos proc(urator) / arg(enti) p(ondo) XXX",HD006921 ; EDCS-09300683 ; TM 264919 ; EDR076573,I,EDCS: -27 to 14 ; EDR: 27 a.C. / 14 d.C. ; HD: 1 AD - 31 AD ; TM: BC 27 - AD 14,1st C BCE-1st C CE,https://www.trismegistos.org/text/264919,,,,27 BC to 14 AD,1st century BCE-1st century CE,1st Half 1st C CE,Frankfurt Database (EDCS) ; Eagle Database (EDR) ; Trismegistos (TM),5.0,Tonans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rome,1
6.0,Roma,41.8917375,12.4861685,"TM, EDCS, HD; EDR states Ostia, but the TM link on the EDR page indicates Rome",TM,6,"AE 1972, 0013. ; G. Taus - P. Berardi, Epigraphica 34, 1972, 85-88; fig. 8. - AE 1972.",,EDCS-09700001: Iovi Fulguri / Pontia Arche / ob vita sua [et] / suorum restit[uta(?)] / d(onum) d(edit)     ~~~~~ EDR075159: Iovi Fulguri/Pontia Arcĥe/ob vìta(:vitam) sua(:suam) [et]/suorum restit[uta(:restitutam)]/d(ono) d(edit).    ~~~~~ HD008581: Iovi Fulguri / Pontia Arche / ob vita(m) sua(m) [et] / suorum restit[utam ---] / d(ono) d(edit),EDCS-09700001 ; HD008581 ; EDR075159 ; TM 264418,I,EDCS: 51 to 100 ; EDR: 51 d.C. / 100 d.C.  (palaeographia; archaeologia) ; HD: 51 AD – 150 AD ; TM: second half 1st century AD: AD 50 - 99,1st C CE,https://www.trismegistos.org/text/264418,,,,51 AD to 150 AD,1st-2nd century CE,2nd Half 1st C CE / 1st Half 2nd C CE,Heidelberg Database (HD),6.0,Fulgur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rome,1
7.0,Roma,41.8917375,12.4861685,EDR,TM,7,"AE 1971, 0028 ; PIR (2. Aufl.) D 144. ; PIR V 371; CCID 00432",,"EDCS-09700494: Iovi Opt(imo) Max(imo) / Dolicheno / pro salute Imp(eratoris) / L(uci) Septimi Severi Pii Perti/nacis Aug(usti) et M(arci) Aureli Ant/onini Caesar(is) et Iul(iae) Domnae / Aug(ustae) et tot(ius) dom(us) divinae / M(arcus) Valerius Valen/tinus optio cl(assis) pr(aetoriae) Ra(vennatis) de s(uo) f<e=I>ci(t) / militib(us) class(is) Dextro II et Prisco co(n)s(ulibus) // Iusso Caeci/li{i}o Servillia/no c(uratore) o(perum) p(ublicorum) III K(alendas) Iulias    ~~~~ EDR075063: Iovi Opt (imo) Max (imo) / Dolicheno / pro salute Ìmp (eratoris) / L (uci) Septimi Severi Piì Perti = / nacis Aug (usti) et M (arch) Aureli Ant = / onini Caesar (is) and Iul (iae) Domnâe / Aug (ustae) et tot (ius) dom (us) divinae, / M̅ (arcus) Valerius Valen = / tinus opt̂io cl (assis) pr (aetoriae) Ra (vennatis) de s (uo) fici (t) / `militib (us ) class (is); Dextro II et Prisco co (n) s (ulibus) .´ /     ~~~~ HD010369: Iovi Opt(imo) Max(imo) / Dolicheno / pro salute Imp(eratoris) / L(uci) Septimi Severi Pii Perti/nacis Aug(usti) et M(arci) Aureli Ant/onini Caesar(is) et Iul(iae) Domnae / Aug(ustae) et tot(ius) dom(us) divinae / M(arcus) Valerius Valen/tinus optio cl(assis) pr(aetoriae) Ra(vennatis) de s(uo) f<e>ci(t) / militib(us) class(is) Dextro II et Prisco co(n)s(ulibus) // Iusso(!) Caeci/liio(!) Servillia/no c(uratore) o(perum) p(ublicorum) III K(alendas) Iulias",HD010369 ; EDCS-09700494 ; EDR075063 ; TM 264387,I,"EDCS: 196 to 196 ; HD: 196 AD ; EDR: 29 - 6 196 AD / 196 AD (historia, antiquitates; palaeographia) ; TM: consulate of C. Domitius Dexter II and L. Valerius Messalla Thrasea Priscus: AD 196",2nd C CE,www.trismegistos.org/text/264387,,TM: consulate of C. Domitius Dexter II and L. Valerius Messalla Thrasea Priscus,,196 AD,2nd century CE,2nd Half 2nd C CE,L(uci) Septimi Severi Pii Perti/nacis Aug(usti) / Heidelberg Database (HD) ; Frankfurt Database (EDCS) ; Eagle Database (EDR) ; Trismegistos (TM),7.0,Optimus,Maximus,Dolichenus,0,0,0,0,0,0,0,0,0,0,0,0,0,Rome,2
8.0,Roma,41.8917375,12.4861685,EDR,TM,8,"Heidelberg Database (HD): AE 1909, 0174. ; AE 1914, p. 45-46 s. n. 205. ; AE 1910, p. 26 s. n. 107. / Eagle Database (EDR): CIL 06, 36791 (1) ILS 9283 (2) Y. Hajjar, La triade d'Heliopolis-Baalbek. Son culte et sa diffusion à travers les textes littéraires et les documents iconographiques et épigraphiques, 1, Leiden 1977, pp. 359-361, nr. 287 (3) HD020114 (A. Scheithauer) (4) Terme di Diocleziano: la collezione epigrafica, Milano 2012, p. 649, nr. IX, 55, con foto (G. Crimi) (5); EDCS-19600460: CIL 06, 36791 = D 09283 = Epigrafia-01, p 258 = TermeDiocleziano-01, p 649 = AE 1909, 00174 = AE 1910, +00107 = AE 1914, +00205",,"EDCS-19600460: Numini / I(ovis) O(ptimi) M(aximi) H(eliopolitani) / M(arcus) Helvius Rusticus / a militiis sub / Herennio sacer/dote / d(onum) d(edit) ~~~~~ HD020114: Numini / I(ovis) O(ptimi) M(aximi) H(eliopolitani) / M(arcus) Helvius Rusticus / a militiis sub / Herennio sacer/dote / d(onum) d(edit) ~~~~~ EDR072313: Numini / I(ovis) O(ptimi) M(aximi) H(eliopolitani) / M(arcus) Helvius Rusticus, / a militiìs, sub / [5] Herennio sacer= / dote / d(onum) d(edit).",HD020114 ; EDR072313; EDCS-19600460 ; TM 262988,I,"EDCS: 201 to 300 ; EDR: 201 d.C. / 300 d.C.  (archaeologia; historia, antiquitates) ; HD: none ; TM: 3rd century AD: AD 200 - 299",3rd C CE,https://www.trismegistos.org/text/262988,,,,201 to 300 AD,3rd century CE,1st Half 3rd C CE / 2nd Half 3rd C CE,Eagle Database (EDR) ,8.0,Optimus,Maximus,Heliopolitanus,0,0,0,0,0,0,0,0,0,0,0,0,0,Rome,3
9.0,Roma,41.8917375,12.4861685,EDR,TM,9,"AE 1940, 0072 ; CCID 363; Taf. 75, 363; ISDoli 00003",,HD020853 : Iovi Optimo Maximo Dolicheno ex iusso(!) ipsius d(onum) d(edit) / L(ucius) Vibius Felix cum Fulvia Tertia coniuge sua / sup(!) sacerdotae(!) Aquila Barhadados / dedic(avit) Kal(endis) Mart(iis) Imp(eratore) Commodo Aug(usto) IIII et Auf(idio) Victorino II co(n)s(ulibus).  ~~~~~~~. EDCS-19800652: Iovi Optimo Maximo Dolicheno ex iusso ipsius d(onum) d(edit) / L(ucius) Vibius Felix cum Fulvia Tertia coniuge sua / su<b=P> sacerdot{a}e Aquila Barhadados / dedic(ata) Kal(endis) Mart(iis) Imp(eratore) Commodo Aug(usto) IIII et Auf(idio) Victorino II co(n)s(ulibus) ~~~~~ EDR073421: Iovi Optimo Maximo Dolicheno; ex iusso ipsius d(ono) d(edit) / L(ucius) Vibius Felix cum Fulvia Tertia coniuge sua; / sup sacerdotae(:sub sacerdote) Aquila Barhadados / dedic(atum) kal(endis) Mart(iis) Imp(eratore) Commodo Aug(usto) IIII êt Auf(idio) Victorino II co(n)s(ulibus).,HD020853 ; EDCS-19800652 ; EDR073421 ; TM 263777,I,EDCS: 183 to 183 ; EDR: 1 - 3 183 d.C. / 183 d.C.  (prosopographia) ; HD: none ; TM: AD 183 Mar 1,2nd C CE,https://www.trismegistos.org/text/263777,,Imp(eratore) Commodo Aug(usto) IIII et Auf(idio) Victorino II co(n)s(ulibus),,183 AD,2nd century CE,2nd Half 2nd C CE,Imp(eratore) Commodo Aug(usto) IIII et Auf(idio) Victorino II co(n)s(ulibus) / Frankfurt Database (EDCS) / Eagle Database (EDR),9.0,Optimus,Maximus,Dolichenus,0,0,0,0,0,0,0,0,0,0,0,0,0,Rome,2
10.0,Roma,41.8917375,12.4861685,EDR,TM,10,"ISDoli 00004 = CCID 00364 = AE 2000, +00136; AE 1940, 0073. ",,HD020856: Iovi Optimo Maximo Dolicheno / ex iussu ipsius Iunone(!) facere / L(ucius) Apronius Helius(!) pro se et uxore / et filis suis et familiae suae d(onum) d(edit) / per sacerdote(m) Chaibione(m).  ~~~~~~ EDCS-19800651: Iovi Optimo Maximo Dolicheno / ex iussu ipsius Iunone(m) facere / L(ucius) Apronius Helius pro se et uxore / et fili(i)s suis et familiae suae d(onum) d(edit) / per sacerdote(m) Chaibione(m) ~~~~~ EDR073422: Iovi Optimo Maximo Dolicheno; / ex iussu ipsius Iunone(m) facere / L(ucius) Apronius Helius pro se et uxore / et filis suis et familiae suae d(ono) d(edit) / [5] per sacerdote(m) Chaibione(m).,HD020856 ; EDCS-19800651 ; EDR073422 ; TM 263778,I,EDCS: 131 to 170 ; EDR: 130 d.C. / 170 d.C. ; HD: none ; TM: mid 2nd century AD: AD 125 - 175,2nd C CE,https://www.trismegistos.org/text/263778,,,,125 to 175 AD,2nd century CE,1st Half 2nd C CE / 2nd Half 2nd C CE,Trismegistos (TM),10.0,Optimus,Maximus,Dolichenus,0,0,0,0,0,0,0,0,0,0,0,0,0,Rome,2
